id;abono_2019;abono_2019_q;fecha_2019_q;abono_2020;abono_2020_q;fecha_2020_q
1;false;75669;2020-12-29T08:41:14;false;15120;2020-12-28T15:02:45
2;true;78794;2020-12-28T23:52:08;false;55239;2020-12-29T06:04:30
3;true;16862;2020-12-29T01:44:52;true;35177;2020-12-28T22:03:47
4;true;15301;2020-12-29T04:41:16;false;67973;2020-12-29T08:28:59
5;true;1541;2020-12-28T14:59:02;false;11133;2020-12-29T01:18:58
6;true;20912;2020-12-29T00:10:41;true;6552;2020-12-28T13:04:00
7;false;6783;2020-12-28T23:38:37;true;24922;2020-12-28T15:37:32
8;true;97868;2020-12-29T00:29:34;true;63673;2020-12-29T04:03:53
9;true;7526;2020-12-28T21:49:18;true;19082;2020-12-28T22:45:49
10;true;48550;2020-12-29T01:23:56;false;35017;2020-12-29T08:14:34
